class,precision,recall,f1_score,support
 <=50K, 0.61,0.62,0.62,3921
  >50K, 0.88,0.87,0.88,6179
 <=50K, 0.61,0.62,0.62,1961
,,,   0.81,8140
  >50K, 0.88,0.87,0.87,4119
 <=50K, 0.60,0.62,0.61,1307
,,,   0.81,5426
  >50K, 0.88,0.87,0.88,3089
 <=50K, 0.61,0.62,0.61, 981
,,,   0.81,4070
  >50K, 0.88,0.87,0.88,2471
 <=50K, 0.61,0.63,0.62, 785
,,,   0.81,3256
  >50K, 0.88,0.86,0.87,2059
 <=50K, 0.60,0.64,0.62, 654
,,,   0.81,2713
  >50K, 0.88,0.86,0.87,1765
 <=50K, 0.59,0.63,0.61, 560
,,,   0.81,2325
  >50K, 0.88,0.87,0.88,1544
 <=50K, 0.60,0.65,0.62, 491
,,,   0.81,2035
