Id,DP,PROPN,X,PUNCT,ADP,ADV,NOUN,DET,NTJ,PRON,ADJ,ROPN,ET,VERB,ERB,NUM,INTJ,AUX,SCONJ,Clase
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Negativo
2,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,Negativo
3,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,Positivo
4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Negativo
5,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Positivo
6,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,Positivo
7,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Positivo
8,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,Positivo
9,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,Positivo
10,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,Positivo
11,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,Positivo
12,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,Positivo
13,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Positivo
14,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,Negativo
15,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,Negativo
