,Sexo,Carrera,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo,Mes
0,M,ITI,4.0,4.0,3.571428571,4.0,3.142857143,2.0,4.0,3.5714,2.7857,ES,Mayo
1,F,ITI,3.571428571,3.714285714,3.714285714,2.857142857,3.428571429,3.714285714,3.2143,3.5714,3.7143,EL,Mayo
2,F,LAF,4.8571428569999995,4.1428571430000005,4.714285714,3.285714286,2.4285714290000002,2.857142857,4.0714,3.2857,3.7857,ES,Mayo
3,M,INT,3.571428571,3.428571429,3.571428571,3.142857143,3.285714286,2.857142857,3.3571,3.3571,3.2143,ES,Mayo
4,M,LAF,3.714285714,3.571428571,4.285714286,3.285714286,4.1428571430000005,4.1428571430000005,3.5,3.8571,4.2143,EL,Mayo
5,M,IQA,3.142857143,4.428571429,3.571428571,2.4285714290000002,4.8571428569999995,3.857142857,2.7857,4.6429,3.7143,EP,Mayo
6,F,ARQ,4.428571429,3.714285714,3.571428571,3.142857143,3.571428571,3.571428571,3.7857,3.6429,3.5714,ES,Mayo
7,M,LAEt,2.714285714,3.285714286,3.285714286,3.285714286,4.1428571430000005,4.0,3.0,3.7143,3.6429,EP,Mayo
8,F,MBI,4.0,3.857142857,4.428571429,3.0,3.571428571,2.857142857,3.5,3.7143,3.6429,EP,Mayo
9,F,IBT,3.714285714,3.857142857,3.714285714,3.285714286,3.0,3.285714286,3.5,3.4286,3.5,ES,Mayo
10,F,LAD,3.285714286,3.0,2.4285714290000002,2.142857143,3.571428571,2.142857143,2.7143,3.2857,2.2857,EP,Mayo
11,M,ITI,3.0,4.428571429,3.714285714,3.857142857,4.1428571430000005,3.285714286,3.4286,4.2857,3.5,EP,Mayo
12,F,IBT,4.1428571430000005,4.571428571,3.857142857,3.857142857,3.857142857,3.285714286,4.0,4.2143,3.5714,EP,Mayo
13,F,ISC,3.142857143,3.285714286,3.714285714,3.0,3.285714286,3.714285714,3.0714,3.2857,3.7143,EL,Mayo
14,F,IMT,4.0,3.714285714,3.714285714,4.0,3.571428571,3.857142857,4.0,3.6429,3.7857,ES,Mayo
15,F,ITI,4.285714286,3.714285714,3.428571429,3.285714286,3.285714286,2.4285714290000002,3.7857,3.5,2.9286,ES,Mayo
16,M,ISD,4.714285714,4.285714286,4.714285714,4.428571429,4.714285714,4.428571429,4.5714,4.5,4.5714,ES,Mayo
17,F,IBT,4.714285714,4.428571429,4.714285714,2.857142857,4.428571429,4.571428571,3.7857,4.4286,4.6429,EL,Mayo
18,M,IMT,3.571428571,3.285714286,3.714285714,3.0,3.142857143,3.142857143,3.2857,3.2143,3.4286,EL,Mayo
19,M,ISC,4.428571429,3.857142857,2.4285714290000002,2.4285714290000002,4.1428571430000005,2.285714286,3.4286,4.0,2.3571,EP,Mayo
20,F,ITI,2.5714285709999998,3.285714286,3.0,3.142857143,3.142857143,1.857142857,2.8571,3.2143,2.4286,EP,Mayo
21,M,IFI,2.5714285709999998,4.0,4.1428571430000005,2.5714285709999998,4.8571428569999995,4.1428571430000005,2.5714,4.4286,4.1429,EP,Mayo
22,F,IA,3.714285714,3.714285714,3.285714286,3.428571429,2.5714285709999998,2.142857143,3.5714,3.1429,2.7143,ES,Mayo
23,F,LAD,4.428571429,4.714285714,2.714285714,3.285714286,4.571428571,3.0,3.8571,4.6429,2.8571,EP,Mayo
