id,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
1,M,ITI,4,3,5,5,4,1,5,4,4,5,3,1,4,5,4,3,3,4,5,3,3,4,4,1,3,5,3,5,2,4,3,4,4,2,2,2,4,4,2,4,4,1
2,F,ITI,2,5,4,2,2,1,3,2,4,4,5,4,5,4,5,3,2,5,2,5,3,1,5,5,4,1,2,4,4,4,5,5,3,3,1,2,4,4,5,3,5,5
3,F,LAF,5,5,5,3,2,1,5,3,5,5,3,2,5,5,5,3,2,5,5,2,4,4,3,2,4,5,5,5,2,3,5,4,5,2,2,2,5,5,4,1,3,5
4,M,INT,3,4,3,3,4,3,4,4,4,4,4,3,4,4,5,2,3,2,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,4,2,2,5,4,3,2,3,3
5,M,LAF,3,4,4,1,5,3,4,3,5,4,4,4,4,4,4,5,4,4,5,3,4,1,4,5,4,3,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4
6,M,IQA,3,5,4,1,5,5,2,5,5,5,5,1,5,5,4,4,5,1,1,1,5,1,5,5,1,5,1,1,5,5,5,5,1,2,4,5,5,5,5,3,5,5
7,F,ARQ,2,5,5,1,4,3,5,3,5,4,4,3,5,4,5,5,3,2,5,3,3,3,4,4,4,3,2,3,3,4,5,4,2,3,3,5,5,4,3,3,4,4
8,M,LAEt,2,4,4,3,5,4,2,2,3,4,4,4,4,4,5,4,4,4,2,4,1,3,3,3,3,1,3,3,4,4,2,4,4,2,5,4,4,4,3,4,4,5
9,F,MBI,2,5,5,1,2,1,5,5,5,4,5,3,5,2,5,3,5,4,5,4,3,3,5,1,5,5,4,5,3,5,1,3,5,2,1,1,5,3,4,3,4,5
10,F,IBT,3,4,4,2,3,2,5,4,5,5,3,3,4,3,5,3,3,5,5,3,4,2,4,3,2,5,4,5,3,3,3,3,2,3,2,3,4,5,2,3,3,4
11,F,LAD,1,5,3,1,5,1,3,1,3,3,5,1,3,3,3,1,3,5,5,2,3,3,3,5,5,5,1,3,5,1,3,4,3,3,1,1,3,1,1,1,3,1
12,M,ITI,3,3,2,2,4,1,2,5,5,5,5,5,5,4,5,3,4,5,3,5,5,2,3,3,4,4,2,5,5,1,3,5,2,5,3,4,1,5,5,5,5,4
13,F,IBT,5,5,4,1,5,4,3,3,5,5,5,3,5,5,5,5,3,2,5,4,3,2,3,3,2,5,4,5,4,3,4,5,4,4,3,3,5,5,2,5,4,5
14,F,ISC,5,4,5,3,1,5,4,4,5,4,4,2,1,5,3,4,2,4,2,5,4,3,2,4,1,2,3,3,5,3,5,2,3,2,4,4,4,1,3,2,5,4
