id,Sexo,Carrera,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,MS,MP,ML,EsS,EsP,EsL,ES,EP,EL,Enfo
1,M,ITI,4,3,5,5,4,1,5,4,4,5,3,1,4,5,4,3,3,4,5,3,3,4,4,1,3,5,3,5,2,4,3,4,4,2,2,2,4,4,2,4,4,1,4,4,3.571428571,4,3.142857143,2,4.0000,3.5714,2.7857,ES
2,F,ITI,2,5,4,2,2,1,3,2,4,4,5,4,5,4,5,3,2,5,2,5,3,1,5,5,4,1,2,4,4,4,5,5,3,3,1,2,4,4,5,3,5,5,3.571428571,3.714285714,3.714285714,2.857142857,3.428571429,3.714285714,3.2143,3.5714,3.7143,EL
3,F,LAF,5,5,5,3,2,1,5,3,5,5,3,2,5,5,5,3,2,5,5,2,4,4,3,2,4,5,5,5,2,3,5,4,5,2,2,2,5,5,4,1,3,5,4.857142857,4.142857143,4.714285714,3.285714286,2.428571429,2.857142857,4.0714,3.2857,3.7857,ES
4,M,INT,3,4,3,3,4,3,4,4,4,4,4,3,4,4,5,2,3,2,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,4,2,2,5,4,3,2,3,3,3.571428571,3.428571429,3.571428571,3.142857143,3.285714286,2.857142857,3.3571,3.3571,3.2143,ES
5,M,LAF,3,4,4,1,5,3,4,3,5,4,4,4,4,4,4,5,4,4,5,3,4,1,4,5,4,3,4,4,4,4,2,4,4,4,4,5,4,4,5,4,4,4,3.714285714,3.571428571,4.285714286,3.285714286,4.142857143,4.142857143,3.5000,3.8571,4.2143,EL
6,M,IQA,3,5,4,1,5,5,2,5,5,5,5,1,5,5,4,4,5,1,1,1,5,1,5,5,1,5,1,1,5,5,5,5,1,2,4,5,5,5,5,3,5,5,3.142857143,4.428571429,3.571428571,2.428571429,4.857142857,3.857142857,2.7857,4.6429,3.7143,EP
7,F,ARQ,2,5,5,1,4,3,5,3,5,4,4,3,5,4,5,5,3,2,5,3,3,3,4,4,4,3,2,3,3,4,5,4,2,3,3,5,5,4,3,3,4,4,4.428571429,3.714285714,3.571428571,3.142857143,3.571428571,3.571428571,3.7857,3.6429,3.5714,ES
8,M,LAEt,2,4,4,3,5,4,2,2,3,4,4,4,4,4,5,4,4,4,2,4,1,3,3,3,3,1,3,3,4,4,2,4,4,2,5,4,4,4,3,4,4,5,2.714285714,3.285714286,3.285714286,3.285714286,4.142857143,4,3.0000,3.7143,3.6429,EP
9,F,MBI,2,5,5,1,2,1,5,5,5,4,5,3,5,2,5,3,5,4,5,4,3,3,5,1,5,5,4,5,3,5,1,3,5,2,1,1,5,3,4,3,4,5,4,3.857142857,4.428571429,3,3.571428571,2.857142857,3.5000,3.7143,3.6429,EP
10,F,IBT,3,4,4,2,3,2,5,4,5,5,3,3,4,3,5,3,3,5,5,3,4,2,4,3,2,5,4,5,3,3,3,3,2,3,2,3,4,5,2,3,3,4,3.714285714,3.857142857,3.714285714,3.285714286,3,3.285714286,3.5000,3.4286,3.5000,ES
11,F,LAD,1,5,3,1,5,1,3,1,3,3,5,1,3,3,3,1,3,5,5,2,3,3,3,5,5,5,1,3,5,1,3,4,3,3,1,1,3,1,1,1,3,1,3.285714286,3,2.428571429,2.142857143,3.571428571,2.142857143,2.7143,3.2857,2.2857,EP
12,M,ITI,3,3,2,2,4,1,2,5,5,5,5,5,5,4,5,3,4,5,3,5,5,2,3,3,4,4,2,5,5,1,3,5,2,5,3,4,1,5,5,5,5,4,3,4.428571429,3.714285714,3.857142857,4.142857143,3.285714286,3.4286,4.2857,3.5000,EP
13,F,IBT,5,5,4,1,5,4,3,3,5,5,5,3,5,5,5,5,3,2,5,4,3,2,3,3,2,5,4,5,4,3,4,5,4,4,3,3,5,5,2,5,4,5,4.142857143,4.571428571,3.857142857,3.857142857,3.857142857,3.285714286,4.0000,4.2143,3.5714,EP
14,F,ISC,5,4,5,3,1,5,4,4,5,4,4,2,1,5,3,4,2,4,2,5,4,3,2,4,1,2,3,3,5,3,5,2,3,2,4,4,4,1,3,2,5,4,3.142857143,3.285714286,3.714285714,3,3.285714286,3.714285714,3.0714,3.2857,3.7143,EL
15,F,IMT,4,4,3,2,3,5,4,4,5,5,3,3,5,3,3,5,4,2,4,3,4,4,4,5,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.714285714,3.714285714,4,3.571428571,3.857142857,4.0000,3.6429,3.7857,ES
16,F,ITI,4,3,3,2,3,2,5,4,5,5,4,2,5,4,5,2,4,3,4,3,4,3,4,2,4,5,3,5,3,3,4,3,2,3,2,2,4,4,2,3,3,3,4.285714286,3.714285714,3.428571429,3.285714286,3.285714286,2.428571429,3.7857,3.5000,2.9286,ES
17,M,ISD,5,4,5,4,5,5,5,4,4,4,5,4,5,4,5,5,4,4,5,5,5,4,4,4,4,4,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,4,4.714285714,4.285714286,4.714285714,4.428571429,4.714285714,4.428571429,4.5714,4.5000,4.5714,ES
